1,AC/DC,AU
2,Accept,DE
3,Aerosmith,US
4,Alanis Morissette,CA
5,Alice In Chains,US
6,Antônio Carlos Jobim,BR
7,Apocalyptica,FI
8,Audioslave,US
9,BackBeat,US
10,Billy Cobham,US
11,Black Label Society,US
12,Black Sabbath,GB
13,Body Count,US
14,Bruce Dickinson,GB
15,Buddy Guy,US
16,Caetano Veloso,BR
17,Chico Buarque,BR
18,Chico Science & Nação Zumbi,BR
19,Cidade Negra,BR
20,Cláudio Zoli,BR
21,Various Artists,
22,Led Zeppelin,GB
23,Frank Zappa & Captain Beefheart,US
24,Marcos Valle,BR
25,Milton Nascimento & Bebeto,BR
26,Azymuth,BR
27,Gilberto Gil,BR
28,João Gilberto,BR
29,Bebel Gilberto,BR
30,Jorge Vercilo,BR
31,Baby Consuelo,BR
32,Ney Matogrosso,BR
33,Luiz Melodia,BR
34,Nando Reis,BR
35,Pedro Luís & A Parede,BR
36,O Rappa,BR
37,Ed Motta,BR
38,Banda Black Rio,BR
39,Fernanda Porto,BR
40,Os Cariocas,BR
41,Elis Regina,BR
42,Milton Nascimento,BR
43,A Cor Do Som,BR
44,Kid Abelha,BR
45,Sandra De Sá,BR
46,Jorge Ben,BR
47,Hermeto Pascoal,BR
48,Barão Vermelho,BR
49,"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto",BR
50,Metallica,US
51,Queen,GB
52,Kiss,US
53,Spyro Gyra,US
54,Green Day,US
55,David Coverdale,GB
56,Gonzaguinha,BR
57,Os Mutantes,BR
58,Deep Purple,GB
59,Santana,US
60,Santana Feat. Dave Matthews,US
61,Santana Feat. Everlast,US
62,Santana Feat. Rob Thomas,US
63,Santana Feat. Lauryn Hill & Cee-Lo,US
64,Santana Feat. The Project G&B,US
65,Santana Feat. Maná,MX
66,Santana Feat. Eagle-Eye Cherry,SE
67,Santana Feat. Eric Clapton,GB
68,Miles Davis,US
69,Gene Krupa,US
70,Toquinho & Vinícius,BR
71,Vinícius De Moraes & Baden Powell,BR
72,Vinícius De Moraes,BR
73,Vinícius E Qurteto Em Cy,BR
74,Vinícius E Odette Lara,BR
75,"Vinicius, Toquinho & Quarteto Em Cy",BR
76,Creedence Clearwater Revival,US
77,Cássia Eller,BR
78,Def Leppard,GB
79,Dennis Chambers,US
80,Djavan,BR
81,Eric Clapton,GB
82,Faith No More,US
83,Falamansa,BR
84,Foo Fighters,US
85,Frank Sinatra,US
86,Funk Como Le Gusta,BR
87,Godsmack,US
88,Guns N' Roses,US
89,Incognito,GB
90,Iron Maiden,GB
91,James Brown,US
92,Jamiroquai,GB
93,JET,AU
94,Jimi Hendrix,US
95,Joe Satriani,US
96,Jota Quest,BR
97,João Suplicy,BR
98,Judas Priest,GB
